raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,66,62,58,55,50,47,44,40,40
1,70,66,62,58,53,50,47,44,40
2,74,70,66,61,57,53,49,46,43
3,77,74,70,65,60,56,53,49,46
4,80,77,73,68,63,58,55,51,48
5,83,80,75,70,65,60,56,53,49
6,86,82,77,72,67,62,58,55,50
7,89,84,79,74,68,64,60,56,52
8,91,86,81,76,70,65,61,57,53
9,93,88,83,77,72,67,62,59,54
10,95,90,85,79,73,68,64,60,55
11,97,91,86,80,74,69,65,61,56
12,99,93,88,82,76,71,66,62,57
13,101,95,90,84,77,72,67,63,59
14,103,97,91,85,79,73,69,64,60
15,105,98,93,87,80,75,70,66,61
16,107,100,94,88,82,76,71,67,62
17,108,102,96,90,83,77,72,68,63
18,110,104,98,91,84,79,74,69,64
19,112,105,99,93,86,80,75,70,65
20,114,107,101,94,87,81,76,72,66
21,116,109,103,96,89,83,78,73,67
22,118,111,105,98,91,84,79,74,69
23,121,113,107,100,92,86,80,75,70
24,123,115,109,102,94,88,82,77,71
25,125,118,111,104,96,89,83,78,73
26,128,120,113,106,98,91,85,80,74
27,130,123,116,108,100,93,87,82,76
28,130,126,118,110,102,95,89,84,77
29,130,129,121,113,105,98,91,86,79
30,130,130,125,117,108,101,94,88,83
31,130,130,130,121,112,104,98,92,88
32,130,130,130,126,117,110,103,97,93
33,130,130,130,130,122,115,110,105,100
