raw,K-Fall,K-Spring,1-Fall,1-Spring,2-Fall,2-Spring
0,71,62,55,47,40,40
1,73,64,57,49,41,40
2,75,66,59,51,42,40
3,77,68,61,53,44,40
4,79,70,63,54,45,40
5,80,71,64,56,47,40
6,82,73,65,57,49,40
7,84,75,66,58,51,42
8,85,77,68,60,53,44
9,87,79,70,62,54,45
10,89,80,72,64,56,47
11,90,82,74,66,58,49
12,92,84,75,67,59,51
13,93,85,77,68,61,53
14,95,87,79,70,63,55
15,97,89,81,72,65,56
16,99,90,83,74,66,58
17,100,92,84,76,68,59
18,102,94,86,78,69,60
19,104,96,88,80,71,62
20,106,97,90,82,73,64
21,108,99,92,84,76,65
22,110,101,93,86,78,68
23,112,103,95,88,80,70
24,114,105,97,90,82,73
25,117,107,99,92,84,75
26,119,109,101,94,87,78
27,123,111,103,96,89,81
28,128,114,106,99,92,83
29,130,116,108,101,94,86
30,130,119,111,104,97,89
31,130,124,113,107,100,93
32,130,130,117,110,104,97
33,130,130,123,115,110,103
