raw,5.0-5.3,5.4-5.7,5.8-5.11,6.0-6.5,6.6-6.11,7.0-7.5,7.6-7.11,8.0-8.5,8.6-9.3
0,82,77,74,71,68,65,63,60,57
1,86,82,76,75,72,68,65,62,59
2,90,86,81,79,74,70,67,63,60
3,93,90,85,81,76,72,68,65,61
4,97,93,88,83,78,73,70,66,63
5,101,95,90,85,80,75,71,68,64
6,103,97,92,87,81,76,72,69,65
7,105,99,94,88,83,78,74,70,66
8,107,101,96,90,84,79,75,71,67
9,109,103,97,91,86,81,76,73,69
10,110,104,99,93,87,82,78,74,70
11,112,106,100,94,88,83,79,75,71
12,114,108,102,96,90,85,80,76,72
13,116,109,104,97,91,86,81,78,74
14,117,111,105,99,93,87,83,79,75
15,119,112,107,100,94,89,84,80,76
16,121,114,108,102,96,90,86,82,78
17,123,116,110,104,97,92,87,83,80
18,124,118,112,105,99,93,89,85,81
19,126,119,113,107,100,95,90,87,83
20,128,121,115,108,102,96,92,88,86
21,130,123,117,110,104,98,94,90,89
22,130,125,119,112,105,100,96,93,91
23,130,127,121,114,107,102,98,96,93
24,130,129,123,116,109,104,101,99,96
25,130,130,125,118,112,107,104,101,99
26,130,130,127,120,114,110,108,103,100
27,130,130,129,123,117,113,111,106,104
28,130,130,130,126,120,118,116,111,108
29,130,130,130,129,124,123,122,118,114
30,130,130,130,130,129,128,127,123,118
